player,team,league,position,draft_eligible,nation,pos_fac
Roni Hirvonen,Assat,Liiga,F,Drafted,finland,1
Roby Jarventie,Ilves,Liiga,F,Drafted,finland,1
Benjamin Korhonen,KalPa,Liiga,F,2021,finland,1
Brad Lambert,JYP,Liiga,F,2022,finland,1
Anton Lundell,HIFK,Liiga,F,Drafted,finland,1
Matias Mantykivi,SaiPa,Liiga,F,Drafted,finland,1
Henri Nikkanen,Jukurit,Liiga,F,Drafted,finland,1
Juuso Parssinen,TPS,Liiga,F,Drafted,finland,1
Mikko Petman,Lukko,Liiga,F,2021,finland,1
Petteri Puhakka,Tappara Jr.,Finland Jr. league,F,2021,finland,1
Mikael Pyyhtia,TPS Jr.,Finland Jr. league,F,Drafted,finland,1
Aku Raty,Karpat,Liiga,F,Drafted,finland,1
Kasper Simontaival,Tappara,Liiga,F,Drafted,finland,1
Florian Bugl,RB Hockey Juniors,Austria 2nd division,G,2021,germany,3
Jonas Gahr,Lowen,Germany 2nd division,G,2021,germany,3
Arno Tiefensee,Mannheim Jr.,Germany Jr. league,G,2021,germany,3
Lucas Flade,Dresden,Germany 2nd division,D,2021,germany,2
Maximillian Glotzl,Koln,GER,D,2021,germany,2
Simon Gnyp,Koln,GER,D,2021,germany,2
Niklas Langer,Augsburg,GER,D,2021,germany,2
Luca Munzenberger,Koln Jr.,Germany Jr. league,D,2021,germany,2
Steven Raabe,Wolfsburg,GER,D,2021,germany,2
Maksymilian Szuber,RB Hockey Juniors,Austria 2nd division,D,2021,germany,2
Mario Zimmermann,Landshut,German 2nd division,D,2021,germany,2
Manuel Alberg,RB Hockey Juniors,Austria 2nd division,F,2021,germany,1
Jakub Borzecki,RB Hockey Juniors,Austria 2nd division,F,2021,germany,1
Julian Chrobot,Koln,GER,F,2021,germany,1
Samuel Dube,RB Hockey Juniors,AUT-2,F,2021,germany,1
Florian Elias,Mannheim,GER,F,2021,germany,1
Enrico Henriquez-Morales,Ingolstadt,GER,F,2021,germany,1
Jan Nijenhuis,Wolfsburg,GER,F,2021,germany,1
